fecha,retailer,sku,ean,nombre,cantidad,unidad,precio_lista,precio_efectivo,mecanica
2026-07-20,Jumbo,500,,Bebida Coca-Cola Zero 1.5 L,,,2290,1495,2 x $2.990
2026-07-20,Jumbo,503,,Bebida Coca-Cola Zero 3 L,,,3450,3450,
2026-07-20,Jumbo,53052,,Pack 6 un. Bebida Coca-Cola Zero Mini Lata 220 cc,,,5190,3248,4 x $12.990
2026-07-20,Jumbo,167200,,Pack 24 un. Bebida Coca-Cola Zero Lata 220 cc,,,17690,12990,
2026-07-20,Jumbo,43762,,Pack 6 un. Bebida Coca-Cola Zero Lata 350 cc,,,5990,4190,
2026-07-20,Jumbo,505,,Bebida Coca-Coca Zero 591 ml,,,1350,995,2 x $1.990
2026-07-20,Jumbo,494,,Bebida Coca-Cola Light 1.5 L,,,2290,1495,2 x $2.990
2026-07-20,Jumbo,141141,,Pack Bebida Coca-Cola Zero 3 L + Sprite Zero 3 L,,,5490,4690,
2026-07-20,Jumbo,153768,,Pack 4 un. Bebida Coca-Cola Zero Azúcar Vidrio No Retornable 300 ml,,,4990,4990,
2026-07-20,Jumbo,497,,Bebida Coca-Cola Light 3 L,,,3450,3450,
2026-07-20,Jumbo,135276,,Bebida Coca-Cola Zero Lata 473 cc,,,1250,1000,
2026-07-20,Jumbo,135247,,Pack 6 un. Bebida Coca-Cola Zero Lata 473 cc,,,5990,5990,
2026-07-20,Jumbo,141139,,Pack Bebida Coca-Cola Zero 3 L + Fanta Sin Azúcar 3 L,,,5490,4690,
2026-07-20,Jumbo,141140,,Pack Bebida Coca-Cola Zero 3 L + Nordic Ginger Ale Sin Azúcar 3 L,,,5490,4690,
2026-07-20,Unimarc,57399,7801610350904,Bebida Coca Cola zero 1 L,,,1690,1000,2 x $2.000
2026-07-20,Unimarc,655,7801610355534,Bebida Coca Cola zero desechable 3 L,,,3290,2550,$2.550
2026-07-20,Unimarc,9944,7801620006891,Bebida Pepsi zero no retornable 3 L,,,3190,2450,$2.450
2026-07-20,Unimarc,6434,7801610284339,Bebida Sprite zero desechable 3 L,,,3290,2400,3 x $7.200
2026-07-20,Unimarc,4147,7801610356357,Pack Bebida Coca Cola zero lata 6 un de 350 ml,,,5990,4290,$4.290
2026-07-20,Unimarc,1502,7801610671313,Bebida Fanta sin azúcar desechable 3 L,,,3290,2400,3 x $7.200
2026-07-20,Unimarc,569,7801610650103,Bebida Coca Cola light 1 L,,,1690,1000,2 x $2.000
2026-07-20,Unimarc,93194,7801620010935,Bebida Pepsi zero desechable 1.25 L,,,1890,1000,2 x $2.000
2026-07-20,Unimarc,6011,7801620006938,Pack bebida Pepsi zero lata 6 un de 350 ml,,,5890,4000,$4.000
2026-07-20,Unimarc,578,7801610352151,Bebida Coca Cola light desechable 3 L,,,3290,2550,$2.550
2026-07-20,Unimarc,5871,7801610000601,Bebida Coca Cola zero botella 591 ml,,,1350,995,2 x $1.990
2026-07-20,Unimarc,96681,7801610002612,Pack bebida Coca Cola + Sprite sin azúcar 2 un 3 L,,,5890,5190,$5.190
2026-07-20,Unimarc,3365,7801610022894,Pack Bebida Coca Cola light lata 6 un de 350 ml,,,5990,4290,$4.290
2026-07-20,Unimarc,55295,7801620008079,Bebida Canada Dry ginger ale zero no retornable 3 L,,,3190,2490,$2.490
2026-07-20,Unimarc,91708,7801610473023,Bebida Coca Cola zero lata 473 ml (diseño aleatorio),,,1350,1000,$1.000
2026-07-20,Unimarc,5869,7801610000595,Bebida Coca Cola light botella 591 ml,,,1350,995,2 x $1.990
2026-07-20,Unimarc,12589,7801620002794,Bebida Limón Soda zero no retornable 3 L,,,3190,2490,$2.490
2026-07-20,Unimarc,1722,7801610591888,Bebida Sprite zero botella 591 ml,,,1350,995,2 x $1.990
2026-07-20,Unimarc,14276,7801610591123,Bebida Fanta sin azúcar botella 591 ml,,,1350,995,2 x $1.990
2026-07-20,Unimarc,6345,7801620005290,Bebida Kem zero no retornable 3 L,,,3190,2490,$2.490
2026-07-20,Unimarc,14032,7801620007034,Bebida Orange Crush zero no retornable 3 L,,,3190,2490,$2.490
2026-07-20,Unimarc,6325,7801620005085,Bebida Bilz zero no retornable 3 L,,,3190,2490,$2.490
2026-07-20,Unimarc,3560,7801610223048,Pack bebida Sprite zero lata 6 un de 350 ml,,,5990,4290,$4.290
2026-07-20,Unimarc,6324,7801620005078,Bebida Pap zero no retornable 3 L,,,3190,2490,$2.490
2026-07-20,Unimarc,4642,7801610066621,Pack Bebida Fanta sin azúcar lata 6 un de 350 ml,,,5990,4290,$4.290
2026-07-20,Unimarc,96680,7801610002599,Pack bebida Coca Cola + Fanta sin azúcar 2 un de 3 L,,,5890,5190,$5.190
2026-07-20,Unimarc,659,7801610350409,Bebida Coca Cola zero 1.5 L,,,2290,2290,
2026-07-20,Unimarc,82350,7801620009342,Bebida Pepsi zero 600 ml,,,1290,1070,$1.070
2026-07-20,Unimarc,98036,9990000000136,Bebida Coca Cola Zero Azúcar Retornable 2 L (Incluye envase),,,2090,1790,$1.790
2026-07-20,Unimarc,98037,9990000000137,Bebida Sprite Zero Retornable 2 L (Incluye envase),,,2090,1690,$1.690
2026-07-20,Unimarc,97684,9990000000036,Bebida Fanta Zero Retornable 2 L (Incluye envase),,,2090,1690,$1.690
2026-07-20,Unimarc,96679,7801610002377,Pack bebida Coca Cola + Nordic sin azúcar 2 un de 3 L,,,5890,5190,$5.190
2026-07-20,Unimarc,86614,7801620009410,Bebida Kem zero 600 ml,,,1290,1070,$1.070
2026-07-20,Unimarc,86463,7801620009397,Bebida Limón soda zero sin azúcar 600 cc,,,1290,1070,$1.070
2026-07-20,Unimarc,82358,7801620009427,Bebida Kem Xtreme sugar free 600 ml,,,1290,1070,$1.070
2026-07-20,Unimarc,98038,9990000000138,Bebida Coca Cola Light Retornable 2 L (Incluye envase),,,2090,1790,$1.790
2026-07-20,Unimarc,96829,7808707003651,Bebida Point sin azúcar papaya desechable 3 L,,,1090,1090,
